Código,Município,População,Taxa de alfabetização,PIB,PIB per capita,Renda per capita,Homicídios por 100 mil hab.,Expectativa de vida 2010,IDHM 2010
4312138,Mato Castelhano,2.553,"0,9508368201",168.254,"65.904,43",723,"39,32","75,34","0,727"
4312153,Mato Leitão,4.859,"0,9669565217",180.535,"37.154,76",643,0,"76,16","0,746"
4312179,Mato Queimado,1.795,"0,9688535454",88.446,"49.273,54",573,0,"77,22","0,717"
4312203,Maximiliano de Almeida,4.191,"0,951418141",161.122,"38.444,76",509,0,"74,48","0,699"
4312252,Minas do Leão,7.505,"0,9431349926",279.176,"37.198,67",519,0,"74,55","0,681"
4312302,Miraguaí,4.427,"0,940137931",190.385,"43.005,42",581,"40,82","75,21","0,725"
4312351,Montauri,1.499,"0,9396946565",98.137,"65.468,31",962,0,"76,11","0,764"
4312377,Monte Alegre dos Campos,3.180,"0,9190887667",109.729,"34.505,97",422,"61,78","74,29","0,65"
4312385,Monte Belo do Sul,2.557,"0,9861297539",94.434,"36.931,56",756,0,"76,13","0,752"
4312401,Montenegro,63.624,"0,9709151325",5.752.330,"90.411,32",775,"9,06","76,94","0,755"
4312427,Mormaço,2.756,"0,9346689895",153.333,"55.636,07",630,"31,85","76,59","0,714"
4312443,Morrinhos do Sul,3.071,"0,9698310539",81.465,"26.527,19",623,0,"75,51","0,711"
4312450,Morro Redondo,6.046,"0,9412579114",132.443,"21.905,89",558,0,"76,84","0,702"
4312476,Morro Reuter,6.029,"0,9841889518",274.166,"45.474,54",731,0,"76,5","0,743"
4312500,Mostardas,12.090,"0,9212271973",643.323,"53.211,17",536,"23,27","75,94","0,664"
4312609,Muçum,4.601,"0,9607289528",301.851,"65.605,52",780,0,"75,38","0,746"
4312617,Muitos Capões,2.879,"0,9663716814",1.122.084,"389.747,83",712,"31,4","77,39","0,702"
4312625,Muliterno,1.721,"0,9428571429",91.988,"53.450,32",667,0,"73,48","0,689"
4312658,Não-Me-Toque,17.898,"0,9736949707",2.207.531,"123.339,54",865,"22,36","75,8","0,765"
4312674,Nicolau Vergueiro,1.932,"0,9591708543",146.251,"75.699,28",806,0,"75,33","0,753"
4312708,Nonoai,13.719,"0,9154411765",525.504,"38.304,83",556,"17,28","74,98","0,702"
